time_ms,v,w,left_wheel,right_wheel
21,0.8,-0.0189589,0.818959,0.781041
72,0.8,-0.0188109,0.818811,0.781189
121,0.8,-0.0186621,0.818662,0.781338
172,0.8,-0.0185133,0.818513,0.781487
221,0.8,-0.0183645,0.818365,0.781635
271,0.8,-0.0182157,0.818216,0.781784
321,0.8,-0.0180669,0.818067,0.781933
371,0.8,-0.0179182,0.817918,0.782082
421,0.8,-0.0177696,0.81777,0.78223
471,0.8,-0.017621,0.817621,0.782379
521,0.8,-0.0174726,0.817473,0.782527
571,0.8,-0.0173242,0.817324,0.782676
621,0.8,-0.017176,0.817176,0.782824
671,0.8,-0.0170279,0.817028,0.782972
721,0.8,-0.0168801,0.81688,0.78312
771,0.8,-0.0167324,0.816732,0.783268
821,0.8,-0.0165849,0.816585,0.783415
871,0.8,-0.0164376,0.816438,0.783562
921,0.8,-0.0162905,0.816291,0.783709
971,0.8,-0.0161437,0.816144,0.783856
1021,0.8,-0.0159972,0.815997,0.784003
1071,0.8,-0.0265581,0.826558,0.773442
1121,0.8,-0.0263528,0.826353,0.773647
1172,0.8,-0.0261474,0.826147,0.773853
1221,0.8,-0.0259419,0.825942,0.774058
1271,0.8,-0.0257363,0.825736,0.774264
1321,0.8,-0.0255307,0.825531,0.774469
1371,0.8,-0.0253251,0.825325,0.774675
1421,0.8,-0.0251195,0.82512,0.77488
1471,0.8,-0.024914,0.824914,0.775086
1521,0.8,-0.0247085,0.824709,0.775291
1571,0.8,-0.0245032,0.824503,0.775497
1621,0.8,-0.0242979,0.824298,0.775702
1671,0.8,-0.0240928,0.824093,0.775907
1721,0.8,-0.0238879,0.823888,0.776112
1771,0.8,-0.0236832,0.823683,0.776317
1821,0.8,-0.0234787,0.823479,0.776521
1871,0.8,-0.0232744,0.823274,0.776726
1921,0.8,-0.0230704,0.82307,0.77693
1971,0.8,-0.0228666,0.822867,0.777133
2021,0.8,-0.0226632,0.822663,0.777337
2071,0.8,-0.0224601,0.82246,0.77754
2121,0.8,-0.0176217,0.817622,0.782378
2171,0.8,-0.0174932,0.817493,0.782507
2221,0.8,-0.0173644,0.817364,0.782636
2271,0.8,-0.0172355,0.817236,0.782764
2321,0.8,-0.0171065,0.817106,0.782894
2371,0.8,-0.0169773,0.816977,0.783023
2422,0.8,-0.0168479,0.816848,0.783152
2472,0.8,-0.0167185,0.816719,0.783281
2521,0.8,-0.016589,0.816589,0.783411
2572,0.8,-0.0164594,0.816459,0.783541
2621,0.8,-0.0163298,0.81633,0.78367
2671,0.8,-0.0162001,0.8162,0.7838
2721,0.8,-0.0160705,0.81607,0.78393
2771,0.8,-0.0159408,0.815941,0.784059
2821,0.8,-0.0158111,0.815811,0.784189
2871,0.8,-0.0156815,0.815681,0.784319
2921,0.8,-0.0155519,0.815552,0.784448
2971,0.8,-0.0154224,0.815422,0.784578
3022,0.8,-0.015293,0.815293,0.784707
3071,0.8,-0.0151636,0.815164,0.784836
3121,0.8,0.000802363,0.799198,0.800802
3171,0.8,0.000789872,0.79921,0.80079
3221,0.8,0.000777478,0.799223,0.800777
3271,0.8,0.000765182,0.799235,0.800765
3321,0.8,0.000752982,0.799247,0.800753
3371,0.8,0.00074088,0.799259,0.800741
3421,0.8,0.000728875,0.799271,0.800729
3472,0.8,0.000716967,0.799283,0.800717
3521,0.8,0.000705156,0.799295,0.800705
3571,0.8,0.000693443,0.799307,0.800693
3622,0.8,0.000681827,0.799318,0.800682
3672,0.8,0.000670308,0.79933,0.80067
3721,0.8,0.000658886,0.799341,0.800659
3771,0.8,0.00064756,0.799352,0.800648
3821,0.8,0.000636332,0.799364,0.800636
3871,0.8,0.000625201,0.799375,0.800625
3921,0.8,0.000614166,0.799386,0.800614
3971,0.8,0.000603227,0.799397,0.800603
4021,0.8,0.000592386,0.799408,0.800592
4071,0.8,0.00058164,0.799418,0.800582
4121,0.8,0.00057099,0.799429,0.800571
4172,0.8,-0.0140743,0.814074,0.785926
4222,0.8,-0.0139624,0.813962,0.786038
4271,0.8,-0.0138504,0.81385,0.78615
4321,0.8,-0.0137385,0.813738,0.786262
4371,0.8,-0.0136266,0.813627,0.786373
4421,0.8,-0.0135147,0.813515,0.786485
4471,0.8,-0.0134028,0.813403,0.786597
4521,0.8,-0.013291,0.813291,0.786709
4571,0.8,-0.0131793,0.813179,0.786821
4621,0.8,-0.0130677,0.813068,0.786932
4671,0.8,-0.0129562,0.812956,0.787044
4722,0.8,-0.0128448,0.812845,0.787155
4771,0.8,-0.0127335,0.812733,0.787267
4821,0.8,-0.0126223,0.812622,0.787378
4871,0.8,-0.0125113,0.812511,0.787489
4921,0.8,-0.0124005,0.8124,0.7876
4972,0.8,-0.0122898,0.81229,0.78771
5021,0.8,-0.0121793,0.812179,0.787821
5071,0.8,-0.012069,0.812069,0.787931
5121,0.8,-0.0119589,0.811959,0.788041
5171,0.8,-0.00993673,0.809937,0.790063
5221,0.8,-0.00985764,0.809858,0.790142
5271,0.8,-0.00977854,0.809779,0.790221
5321,0.8,-0.00969945,0.809699,0.790301
5371,0.8,-0.00962037,0.80962,0.79038
5421,0.8,-0.00954131,0.809541,0.790459
5471,0.8,-0.00946229,0.809462,0.790538
5521,0.8,-0.0093833,0.809383,0.790617
5571,0.8,-0.00930438,0.809304,0.790696
5621,0.8,-0.00922551,0.809226,0.790774
5671,0.8,-0.00914671,0.809147,0.790853
5721,0.8,-0.009068,0.809068,0.790932
5771,0.8,-0.00898937,0.808989,0.791011
5821,0.8,-0.00891084,0.808911,0.791089
5871,0.8,-0.00883241,0.808832,0.791168
5921,0.8,-0.0087541,0.808754,0.791246
5971,0.8,-0.00867591,0.808676,0.791324
6021,0.8,-0.00859785,0.808598,0.791402
6071,0.8,-0.00851993,0.80852,0.79148
6121,0.8,-0.00844216,0.808442,0.791558
6172,0.8,-0.00836454,0.808365,0.791635
6221,0.8,0.00758607,0.792414,0.807586
6271,0.8,0.00752112,0.792479,0.807521
6321,0.8,0.00745624,0.792544,0.807456
6371,0.8,0.00739143,0.792609,0.807391
6422,0.8,0.00732671,0.792673,0.807327
6471,0.8,0.00726207,0.792738,0.807262
6521,0.8,0.00719753,0.792802,0.807198
6571,0.8,0.00713309,0.792867,0.807133
6621,0.8,0.00706876,0.792931,0.807069
6672,0.8,0.00700455,0.792995,0.807005
6722,0.8,0.00694045,0.79306,0.80694
6771,0.8,0.00687648,0.793124,0.806876
6822,0.8,0.00681265,0.793187,0.806813
6871,0.8,0.00674894,0.793251,0.806749
6921,0.8,0.00668538,0.793315,0.806685
6971,0.8,0.00662197,0.793378,0.806622
7021,0.8,0.00655869,0.793441,0.806559
7071,0.8,0.00649557,0.793504,0.806496
7121,0.8,0.00643261,0.793567,0.806433
7171,0.8,0.00636977,0.79363,0.80637
7221,0.8,0.00555238,0.794448,0.805552
7271,0.8,0.00550204,0.794498,0.805502
7321,0.8,0.00545172,0.794548,0.805452
7371,0.8,0.0054015,0.794598,0.805402
7421,0.8,0.00535128,0.794649,0.805351
7471,0.8,0.00530114,0.794699,0.805301
7521,0.8,0.0052511,0.794749,0.805251
7571,0.8,0.00520092,0.794799,0.805201
7621,0.8,0.00515088,0.794849,0.805151
7671,0.8,0.00510079,0.794899,0.805101
7721,0.8,0.00505052,0.794949,0.805051
7771,0.8,0.00500039,0.795,0.805
7821,0.8,0.00494984,0.79505,0.80495
7871,0.8,0.00489913,0.795101,0.804899
7921,0.8,0.00484859,0.795151,0.804849
7971,0.8,0.00479674,0.795203,0.804797
8021,0.8,0.004745,0.795255,0.804745
8071,0.8,0.00469279,0.795307,0.804693
8121,0.8,0.00463878,0.795361,0.804639
8171,0.8,0.00458503,0.795415,0.804585
8221,0.8,0.00452892,0.795471,0.804529
8271,0.8,-0.00975347,0.809753,0.790247
8321,0.8,-0.00969494,0.809695,0.790305
8371,0.8,-0.00963609,0.809636,0.790364
8421,0.8,-0.0095835,0.809583,0.790417
8471,0.8,-0.00953112,0.809531,0.790469
8521,0.8,-0.00948218,0.809482,0.790518
8571,0.8,-0.00944007,0.80944,0.79056
8621,0.8,-0.00939741,0.809397,0.790603
8671,0.8,-0.00936833,0.809368,0.790632
8721,0.8,-0.00934105,0.809341,0.790659
8771,0.8,-0.00932359,0.809324,0.790676
8821,0.8,-0.00931865,0.809319,0.790681
8871,0.8,-0.00931719,0.809317,0.790683
8921,0.8,-0.00934306,0.809343,0.790657
8971,0.8,-0.00936732,0.809367,0.790633
9021,0.8,-0.00943079,0.809431,0.790569
9071,0.8,-0.00949434,0.809494,0.790506
9121,0.8,-0.00960105,0.809601,0.790399
9171,0.8,-0.00971223,0.809712,0.790288
9221,0.8,-0.0098732,0.809873,0.790127
9271,0.8,-0.0100386,0.810039,0.789961
9321,0.8,-0.0129111,0.812911,0.787089
9371,0.8,-0.0135119,0.813512,0.786488
9421,0.8,-0.0141271,0.814127,0.785873
9471,0.8,-0.0147495,0.814749,0.785251
9522,0.8,-0.0154172,0.815417,0.784583
9571,0.8,-0.0161116,0.816112,0.783888
9621,0.8,-0.0168257,0.816826,0.783174
9671,0.8,-0.0175867,0.817587,0.782413
9721,0.8,-0.0183549,0.818355,0.781645
9772,0.8,-0.019161,0.819161,0.780839
9821,0.8,-0.0199831,0.819983,0.780017
9871,0.8,-0.0208162,0.820816,0.779184
9921,0.8,-0.0216788,0.821679,0.778321
9971,0.8,-0.0225399,0.82254,0.77746
10021,0.8,-0.0234163,0.823416,0.776584
10071,0.8,-0.0242947,0.824295,0.775705
10121,0.8,-0.025168,0.825168,0.774832
10171,0.8,-0.0260474,0.826047,0.773953
10221,0.8,-0.0269145,0.826914,0.773086
10271,0.8,-0.0277748,0.827775,0.772225
10321,0.8,-0.0463596,0.84636,0.75364
10371,0.8,-0.0467991,0.846799,0.753201
10421,0.8,-0.0472249,0.847225,0.752775
10472,0.8,-0.0476372,0.847637,0.752363
10521,0.8,-0.0480361,0.848036,0.751964
10571,0.8,-0.0484219,0.848422,0.751578
10621,0.8,-0.0487945,0.848795,0.751205
10671,0.8,-0.0491543,0.849154,0.750846
10721,0.8,-0.0495014,0.849501,0.750499
10771,0.8,-0.0498359,0.849836,0.750164
10821,0.8,-0.0501581,0.850158,0.749842
10871,0.8,-0.0504681,0.850468,0.749532
10921,0.8,-0.0507662,0.850766,0.749234
10971,0.8,-0.0510524,0.851052,0.748948
11021,0.8,-0.051327,0.851327,0.748673
11071,0.8,-0.0515902,0.85159,0.74841
11121,0.8,-0.0518421,0.851842,0.748158
