index,x,y,yaw
0,29.025000,16.275000,2.094395
1,29.081586,16.181751,2.138028
2,29.140192,16.089759,2.138028
3,29.198798,15.997766,2.138028
4,29.257404,15.905774,2.138028
5,29.196805,15.996466,2.181662
6,29.255411,15.904474,2.181662
7,29.190915,15.992436,2.225295
8,29.122644,16.077503,2.268928
9,29.050727,16.159510,2.312561
10,29.124418,16.079091,2.312561
11,29.046846,16.161841,2.335247
12,28.967417,16.242811,2.357932
13,28.886172,16.321958,2.380617
14,28.803153,16.399242,2.403302
15,28.718402,16.474622,2.425988
16,28.631962,16.548061,2.448673
17,28.543880,16.619520,2.471358
18,28.454199,16.688963,2.494043
19,28.362966,16.756354,2.516729
20,28.270227,16.821657,2.539414
21,28.176031,16.884841,2.562099
22,28.080427,16.945871,2.584785
23,27.983462,17.004718,2.607470
24,27.885188,17.061349,2.630155
25,27.785654,17.115737,2.652840
26,27.684912,17.167853,2.675526
27,27.583014,17.217670,2.698211
28,27.480013,17.265164,2.720896
29,27.375960,17.310308,2.743581
30,27.270910,17.353081,2.766267
31,27.164917,17.393460,2.788952
32,27.058035,17.431424,2.811637
33,26.950320,17.466954,2.834323
34,26.841826,17.500031,2.857008
35,26.732610,17.530639,2.879693
36,26.622728,17.558762,2.902378
37,26.512236,17.584385,2.925064
38,26.401191,17.607495,2.947749
39,26.289651,17.628081,2.970434
40,26.177673,17.646130,2.993119
41,26.065314,17.661636,3.015805
42,25.952632,17.674588,3.038490
43,25.839685,17.684981,3.061175
44,25.726531,17.692810,3.083860
45,25.613229,17.698070,3.106546
46,25.499837,17.700758,3.129231
47,25.386414,17.700874,-3.131269
48,25.273016,17.698416,-3.108584
49,25.159704,17.693387,-3.085898
50,25.046535,17.685790,-3.063213
51,24.933567,17.675627,-3.040528
52,24.820859,17.662904,-3.017843
53,24.708468,17.647628,-2.995157
54,24.596453,17.629806,-2.972472
55,24.484871,17.609448,-2.949787
56,24.373780,17.586564,-2.927102
57,24.263236,17.561166,-2.904416
58,24.153297,17.533268,-2.881731
59,24.044019,17.502882,-2.859046
60,23.935305,17.470527,-2.850834
61,23.826640,17.438010,-2.850834
62,23.717974,17.405493,-2.850834
63,23.620399,17.377371,-2.871144
64,23.522272,17.351236,-2.891454
65,23.423635,17.327100,-2.911763
